perno,sex,latitude,long,value,valueLog,goneAway,marketing,moveFreq,moveDur,premsFreq,premsMean,premsMax,premsMin,premsMedian,premsDur,traceability
0,0,,,167496.91905637548,12.028720236384812,0,1,1,6570,58,2176.51,4615.0,240.74,2124.7,115,0.0
1,2,51.3683,-0.1676,710.0,6.565264970035361,0,0,1,6570,1,250.0,250.0,250.0,250.0,6570,0.0
2,0,,,30415.92921172465,10.322721737388727,0,0,1,6570,216,96.51,438.05,2.98,86.05,30,0.5316803463293405
3,2,51.513,-0.2851888888888889,710.0,6.565264970035361,0,1,1,6570,1,250.0,250.0,250.0,250.0,6570,0.6565374584623912
4,2,,,22489.861083142565,10.020819868106475,0,1,3,1822,6,2810.32,3785.99,1834.52,2805.93,1160,0.0
5,1,53.4106,-2.9779,31773.8028347856,10.366397419023277,1,0,1,6570,216,100.64,342.57,7.78,90.02,30,0.8903385196735059
6,0,,,31531.07986873409,10.358729000881711,0,1,1,6570,216,99.8,321.7,8.27,86.58,30,0.6025948832273851
7,0,,,141988.1178267793,11.863498655806056,0,0,1,6570,52,2119.16,4016.02,374.36,1966.18,118,0.0
8,2,55.8651,-4.2576,710.0,6.565264970035361,0,1,1,6570,1,250.0,250.0,250.0,250.0,6570,0.5980360950383524
9,1,,,31219.82747594752,10.348808667979442,0,0,1,6570,216,99.13,304.93,9.82,90.6,30,0.0
10,1,,,29297.424975678703,10.285254906353941,0,0,1,6570,216,92.55,318.61,4.37,77.79,30,0.7689546169424619
11,0,,,39320.909506563294,10.579511704882787,0,1,1,6570,16,1930.64,3631.09,167.15,2042.6,425,0.580042091861559
12,1,,,239315.33358906076,12.38553734868885,1,0,1,6570,82,2112.35,4644.51,156.98,2081.23,79,0.0
13,2,51.5362,-0.0944,710.0,6.565264970035361,0,1,2,1442,1,250.0,250.0,250.0,250.0,6570,0.535829518155878
14,0,,,249982.48328460896,12.429146127528021,0,1,1,6570,97,1872.1,3798.56,3.39,1903.21,68,0.6901792988837093
15,1,50.7276,-1.7821,710.0,6.565264970035361,0,1,1,6570,1,250.0,250.0,250.0,250.0,6570,0.0
16,0,,,31147.43007513643,10.346487019211398,0,0,1,6570,216,99.52,310.54,1.83,88.58,30,0.614303593197141
17,2,55.8651,-4.2576,29629.2279575508,10.296516584121186,0,1,1,6570,216,93.98,270.39,13.46,78.82,30,0.0
18,2,,,710.0,6.565264970035361,0,0,3,1784,1,250.0,250.0,250.0,250.0,6570,0.6895308513973395
19,1,,,20164.079576576136,9.911658061662505,0,1,1,6570,8,1751.41,3524.33,194.19,1873.65,733,0.6151707116404677
20,0,,,57473.178847411735,10.959073663133925,0,0,1,6570,21,2099.09,4114.9,266.65,2053.33,319,0.0
21,2,,,182311.7528160899,12.113473428232615,0,1,1,6570,66,2024.62,4880.49,14.67,2006.76,99,0.7943065011054717
22,0,,,31332.46733007581,10.352410133800248,0,1,1,6570,216,99.47,342.82,3.81,90.36,30,0.0
23,1,,,104109.87343760736,11.553202095807771,1,0,1,6570,42,1817.66,3661.78,12.82,1696.6,152,0.0
24,1,50.6145,-2.46138,710.0,6.565264970035361,0,0,1,6570,1,250.0,250.0,250.0,250.0,6570,0.0
25,0,51.5596,-0.0077999999999999,190101.6937793285,12.15531443837543,0,1,1,6570,75,1836.75,3679.79,59.69,1718.23,88,0.7330432664753396
26,2,52.2758,-0.83308,30527.6985096032,10.326389698334571,0,0,1,6570,216,98.35,314.44,12.22,92.21,30,0.0
27,2,51.5156,-0.1886454545454545,127760.54869492204,11.757913077611372,0,1,1,6570,47,1950.22,4069.02,191.13,2016.66,136,0.0
28,2,,,24336.548229804983,10.09973454176855,0,1,1,6570,8,2303.17,4539.68,1068.72,1736.19,829,0.8588335995972369
29,0,,,32468.448707084448,10.388024087764764,0,1,3,2145,216,103.08,336.61,2.12,89.21,30,0.0
30,0,,,33047.826729967164,10.405711086081954,1,0,1,6570,216,105.49,341.42,11.11,86.12,30,0.500190201777202
31,2,51.3229,-0.1995,243064.7421659756,12.401083115503438,0,0,2,543,80,2224.26,3944.87,67.58,2236.69,80,0.6243469910002171
32,2,,,32393.379094520114,10.385709331963769,0,1,1,6570,216,103.37,288.82,7.25,96.09,30,0.0
33,1,,,710.0,6.565264970035361,0,0,1,6570,1,250.0,250.0,250.0,250.0,6570,0.7286527177187228
34,2,51.5362,-0.0944,33632.49049041507,10.42324785760979,0,0,1,6570,216,107.79,368.0,4.31,97.35,30,0.0
35,0,,,31680.60427060746,10.363459919944919,0,0,1,6570,216,102.16,331.19,6.76,90.47,30,0.0
36,0,,,137610.30865148254,11.832181119200511,0,0,2,930,42,2435.67,4420.81,169.25,2528.46,156,0.7363742773843179
37,0,,,122930.71477065308,11.719376181097042,0,1,1,6570,39,2202.06,4545.95,31.48,2314.19,169,0.0
38,1,,,29549.4382442806,10.29382001230771,0,0,2,1600,216,93.89,281.74,6.26,84.4,30,0.0
39,0,,,127481.07294864336,11.755723185099582,0,1,1,6570,45,2063.96,4011.68,297.01,2039.0,141,0.6755221359522262
40,0,,,31757.551296065754,10.365885812138876,0,1,1,6570,216,100.22,375.65,7.24,95.03,30,0.0
41,1,52.0121,-0.7868333333333334,260685.27957802263,12.471069133340897,1,1,1,6570,98,2009.51,3963.27,9.91,2115.39,66,0.0
42,2,,,710.0,6.565264970035361,0,0,1,6570,1,250.0,250.0,250.0,250.0,6570,0.604434302372995
43,2,,,231432.03659868025,12.35204153099842,0,1,1,6570,86,1959.63,3946.19,84.65,2099.72,75,0.0
44,0,,,710.0,6.565264970035361,1,0,2,5499,1,250.0,250.0,250.0,250.0,6570,0.7245566250851814
45,1,,,710.0,6.565264970035361,0,1,2,1952,1,250.0,250.0,250.0,250.0,6570,0.8749948886089116
46,1,53.5228,-1.1312,247298.7015234954,12.418352202883089,0,1,1,6570,80,2206.91,4021.42,24.63,2119.81,82,0.0
47,2,52.4272,-1.8432,31290.17253752912,10.351059350790553,0,1,1,6570,216,99.18,294.54,13.71,86.52,30,0.0
48,0,,,710.0,6.565264970035361,0,0,1,6570,1,250.0,250.0,250.0,250.0,6570,0.8957183205004213
49,0,,,64435.3091387279,11.073417040394352,0,1,1,6570,22,1990.86,3439.59,202.83,2136.96,310,0.8393280512848933
50,0,52.8248,-2.425558536585366,31273.86220615449,10.350537954374515,0,0,1,6570,216,98.82,291.51,3.22,88.14,30,0.5547334173461155
51,1,53.3405,-1.47815,710.0,6.565264970035361,0,1,1,6570,1,250.0,250.0,250.0,250.0,6570,0.8364766217926314
52,1,51.6156,0.1912,30892.84488629036,10.338279878994376,0,1,1,6570,216,98.75,328.65,9.48,85.16,30,0.7584358752850315
53,2,53.4567,-1.3738,68352.23410468247,11.132429527860523,0,1,1,6570,22,2169.11,4091.59,624.38,1861.29,302,0.5469087513425744
54,1,,,30019.1239452383,10.309589922391163,0,1,2,516,216,97.01,314.28,5.0,86.23,30,0.5455092761711792
55,2,52.2868,-0.71175,710.0,6.565264970035361,0,1,1,6570,1,250.0,250.0,250.0,250.0,6570,0.0
